Population n
acb 12
acb_11:123908773 1
acb_11:124179736 1
acb_11:124266306 1
acb_11:4673757 1
acb_11:4702979 1
acb_11:5020213 1
acb_11:6023281 1
acb_11:7846584 1
acb_11:7949265 1
acb_14:22037934 1
acb_19:14909986 1
acb_19:9324575 1
acb_1:158532441 1
acb_1:159504868 1
acb_1:247614331 1
acb_1:247920764 1
acb_6:29011990 1
acb_6:29394471 1
asw 12
asw_11:123908773 1
asw_11:124179736 1
asw_11:124266306 1
asw_11:4673757 1
asw_11:4702979 1
asw_11:5020213 1
asw_11:6023281 1
asw_11:7846584 1
asw_11:7949265 1
asw_14:22037934 1
asw_19:14909986 1
asw_19:9324575 1
asw_1:158532441 1
asw_1:159504868 1
asw_1:247614331 1
asw_1:247920764 1
asw_6:29011990 1
asw_6:29394471 1
beb 12
beb_11:123908773 1
beb_11:124179736 1
beb_11:124266306 1
beb_11:4673757 1
beb_11:4702979 1
beb_11:5020213 1
beb_11:6023281 1
beb_11:7846584 1
beb_11:7949265 1
beb_14:22037934 1
beb_19:14909986 1
beb_19:9324575 1
beb_1:158532441 1
beb_1:159504868 1
beb_1:247614331 1
beb_1:247920764 1
beb_6:29011990 1
beb_6:29394471 1
cdx 12
cdx_11:123908773 1
cdx_11:124179736 1
cdx_11:124266306 1
cdx_11:4673757 1
cdx_11:4702979 1
cdx_11:5020213 1
cdx_11:6023281 1
cdx_11:7846584 1
cdx_11:7949265 1
cdx_14:22037934 1
cdx_19:14909986 1
cdx_19:9324575 1
cdx_1:158532441 1
cdx_1:159504868 1
cdx_1:247614331 1
cdx_1:247920764 1
cdx_6:29011990 1
cdx_6:29394471 1
ceu 12
ceu_11:123908773 1
ceu_11:124179736 1
ceu_11:124266306 1
ceu_11:4673757 1
ceu_11:4702979 1
ceu_11:5020213 1
ceu_11:6023281 1
ceu_11:7846584 1
ceu_11:7949265 1
ceu_14:22037934 1
ceu_19:14909986 1
ceu_19:9324575 1
ceu_1:158532441 1
ceu_1:159504868 1
ceu_1:247614331 1
ceu_1:247920764 1
ceu_6:29011990 1
ceu_6:29394471 1
chb 12
chb_11:123908773 1
chb_11:124179736 1
chb_11:124266306 1
chb_11:4673757 1
chb_11:4702979 1
chb_11:5020213 1
chb_11:6023281 1
chb_11:7846584 1
chb_11:7949265 1
chb_14:22037934 1
chb_19:14909986 1
chb_19:9324575 1
chb_1:158532441 1
chb_1:159504868 1
chb_1:247614331 1
chb_1:247920764 1
chb_6:29011990 1
chb_6:29394471 1
chs 12
chs_11:123908773 1
chs_11:124179736 1
chs_11:124266306 1
chs_11:4673757 1
chs_11:4702979 1
chs_11:5020213 1
chs_11:6023281 1
chs_11:7846584 1
chs_11:7949265 1
chs_14:22037934 1
chs_19:14909986 1
chs_19:9324575 1
chs_1:158532441 1
chs_1:159504868 1
chs_1:247614331 1
chs_1:247920764 1
chs_6:29011990 1
chs_6:29394471 1
clm 12
clm_11:123908773 1
clm_11:124179736 1
clm_11:124266306 1
clm_11:4673757 1
clm_11:4702979 1
clm_11:5020213 1
clm_11:6023281 1
clm_11:7846584 1
clm_11:7949265 1
clm_14:22037934 1
clm_19:14909986 1
clm_19:9324575 1
clm_1:158532441 1
clm_1:159504868 1
clm_1:247614331 1
clm_1:247920764 1
clm_6:29011990 1
clm_6:29394471 1
esn 12
esn_11:123908773 1
esn_11:124179736 1
esn_11:124266306 1
esn_11:4673757 1
esn_11:4702979 1
esn_11:5020213 1
esn_11:6023281 1
esn_11:7846584 1
esn_11:7949265 1
esn_14:22037934 1
esn_19:14909986 1
esn_19:9324575 1
esn_1:158532441 1
esn_1:159504868 1
esn_1:247614331 1
esn_1:247920764 1
esn_6:29011990 1
esn_6:29394471 1
fin 12
fin_11:123908773 1
fin_11:124179736 1
fin_11:124266306 1
fin_11:4673757 1
fin_11:4702979 1
fin_11:5020213 1
fin_11:6023281 1
fin_11:7846584 1
fin_11:7949265 1
fin_14:22037934 1
fin_19:14909986 1
fin_19:9324575 1
fin_1:158532441 1
fin_1:159504868 1
fin_1:247614331 1
fin_1:247920764 1
fin_6:29011990 1
fin_6:29394471 1
gbr 12
gbr_11:123908773 1
gbr_11:124179736 1
gbr_11:124266306 1
gbr_11:4673757 1
gbr_11:4702979 1
gbr_11:5020213 1
gbr_11:6023281 1
gbr_11:7846584 1
gbr_11:7949265 1
gbr_14:22037934 1
gbr_19:14909986 1
gbr_19:9324575 1
gbr_1:158532441 1
gbr_1:159504868 1
gbr_1:247614331 1
gbr_1:247920764 1
gbr_6:29011990 1
gbr_6:29394471 1
gih 12
gih_11:123908773 1
gih_11:124179736 1
gih_11:124266306 1
gih_11:4673757 1
gih_11:4702979 1
gih_11:5020213 1
gih_11:6023281 1
gih_11:7846584 1
gih_11:7949265 1
gih_14:22037934 1
gih_19:14909986 1
gih_19:9324575 1
gih_1:158532441 1
gih_1:159504868 1
gih_1:247614331 1
gih_1:247920764 1
gih_6:29011990 1
gih_6:29394471 1
gwd 12
gwd_11:123908773 1
gwd_11:124179736 1
gwd_11:124266306 1
gwd_11:4673757 1
gwd_11:4702979 1
gwd_11:5020213 1
gwd_11:6023281 1
gwd_11:7846584 1
gwd_11:7949265 1
gwd_14:22037934 1
gwd_19:14909986 1
gwd_19:9324575 1
gwd_1:158532441 1
gwd_1:159504868 1
gwd_1:247614331 1
gwd_1:247920764 1
gwd_6:29011990 1
gwd_6:29394471 1
ibs 12
ibs_11:123908773 1
ibs_11:124179736 1
ibs_11:124266306 1
ibs_11:4673757 1
ibs_11:4702979 1
ibs_11:5020213 1
ibs_11:6023281 1
ibs_11:7846584 1
ibs_11:7949265 1
ibs_14:22037934 1
ibs_19:14909986 1
ibs_19:9324575 1
ibs_1:158532441 1
ibs_1:159504868 1
ibs_1:247614331 1
ibs_1:247920764 1
ibs_6:29011990 1
ibs_6:29394471 1
itu 12
itu_11:123908773 1
itu_11:124179736 1
itu_11:124266306 1
itu_11:4673757 1
itu_11:4702979 1
itu_11:5020213 1
itu_11:6023281 1
itu_11:7846584 1
itu_11:7949265 1
itu_14:22037934 1
itu_19:14909986 1
itu_19:9324575 1
itu_1:158532441 1
itu_1:159504868 1
itu_1:247614331 1
itu_1:247920764 1
itu_6:29011990 1
itu_6:29394471 1
jpt 12
jpt_11:123908773 1
jpt_11:124179736 1
jpt_11:124266306 1
jpt_11:4673757 1
jpt_11:4702979 1
jpt_11:5020213 1
jpt_11:6023281 1
jpt_11:7846584 1
jpt_11:7949265 1
jpt_14:22037934 1
jpt_19:14909986 1
jpt_19:9324575 1
jpt_1:158532441 1
jpt_1:159504868 1
jpt_1:247614331 1
jpt_1:247920764 1
jpt_6:29011990 1
jpt_6:29394471 1
khv 12
khv_11:123908773 1
khv_11:124179736 1
khv_11:124266306 1
khv_11:4673757 1
khv_11:4702979 1
khv_11:5020213 1
khv_11:6023281 1
khv_11:7846584 1
khv_11:7949265 1
khv_14:22037934 1
khv_19:14909986 1
khv_19:9324575 1
khv_1:158532441 1
khv_1:159504868 1
khv_1:247614331 1
khv_1:247920764 1
khv_6:29011990 1
khv_6:29394471 1
lwk 12
lwk_11:123908773 1
lwk_11:124179736 1
lwk_11:124266306 1
lwk_11:4673757 1
lwk_11:4702979 1
lwk_11:5020213 1
lwk_11:6023281 1
lwk_11:7846584 1
lwk_11:7949265 1
lwk_14:22037934 1
lwk_19:14909986 1
lwk_19:9324575 1
lwk_1:158532441 1
lwk_1:159504868 1
lwk_1:247614331 1
lwk_1:247920764 1
lwk_6:29011990 1
lwk_6:29394471 1
msl 12
msl_11:123908773 1
msl_11:124179736 1
msl_11:124266306 1
msl_11:4673757 1
msl_11:4702979 1
msl_11:5020213 1
msl_11:6023281 1
msl_11:7846584 1
msl_11:7949265 1
msl_14:22037934 1
msl_19:14909986 1
msl_19:9324575 1
msl_1:158532441 1
msl_1:159504868 1
msl_1:247614331 1
msl_1:247920764 1
msl_6:29011990 1
msl_6:29394471 1
mxl 12
