Population n
123887217 3
124180662 4
143772245 4
14910948 5
158533394 3
159505797 1
22038875 5
22134238 5
247615284 3
247921708 1
29012952 2
29080603 1
29142351 4
3119844 2
3406879 5
4674713 3
5021160 1
56086721 5
59132867 1
59211589 2
7847519 1
7950209 5
acb_11:123886282 1
acb_11:123908773 1
acb_11:124179736 1
acb_11:124266306 1
acb_11:4673757 1
acb_11:4702979 1
acb_11:5020213 1
acb_11:56085783 1
acb_11:59131932 1
acb_11:59210642 1
acb_11:6023281 1
acb_11:7846584 1
acb_11:7949265 1
acb_14:20215587 1
acb_14:22037934 1
acb_14:22133297 1
acb_16:3405941 1
acb_17:3118915 1
acb_19:14909986 1
acb_19:9324575 1
acb_1:158532441 1
acb_1:159504868 1
acb_1:247614331 1
acb_1:247920764 1
acb_3:98188421 1
acb_6:29011990 1
acb_6:29079668 1
acb_6:29141413 1
acb_6:29394471 1
acb_7:143771313 1
asw_11:123886282 1
asw_11:123908773 1
asw_11:124179736 1
asw_11:124266306 1
asw_11:4673757 1
asw_11:4702979 1
asw_11:5020213 1
asw_11:56085783 1
asw_11:59131932 1
asw_11:59210642 1
asw_11:6023281 1
asw_11:7846584 1
asw_11:7949265 1
asw_14:20215587 1
asw_14:22037934 1
asw_14:22133297 1
asw_16:3405941 1
asw_17:3118915 1
asw_19:14909986 1
asw_19:9324575 1
asw_1:158532441 1
asw_1:159504868 1
asw_1:247614331 1
asw_1:247920764 1
asw_3:98188421 1
asw_6:29011990 1
asw_6:29079668 1
asw_6:29141413 1
asw_6:29394471 1
asw_7:143771313 1
beb_11:123886282 1
beb_11:123908773 1
beb_11:124179736 1
beb_11:124266306 1
beb_11:4673757 1
beb_11:4702979 1
beb_11:5020213 1
beb_11:56085783 1
beb_11:59131932 1
beb_11:59210642 1
beb_11:6023281 1
beb_11:7846584 1
beb_11:7949265 1
beb_14:20215587 1
beb_14:22037934 1
beb_14:22133297 1
beb_16:3405941 1
beb_17:3118915 1
beb_19:14909986 1
beb_19:9324575 1
beb_1:158532441 1
beb_1:159504868 1
beb_1:247614331 1
beb_3:98188421 1
beb_6:29011990 1
beb_6:29079668 1
beb_6:29141413 1
beb_6:29394471 1
beb_7:143771313 1
cdx_11:123886282 1
cdx_11:123908773 1
cdx_11:124179736 1
cdx_11:124266306 1
cdx_11:4673757 1
cdx_11:5020213 1
cdx_11:56085783 1
cdx_11:59131932 1
cdx_11:59210642 1
cdx_11:6023281 1
cdx_11:7846584 1
cdx_11:7949265 1
cdx_14:20215587 1
cdx_14:22037934 1
cdx_14:22133297 1
cdx_16:3405941 1
cdx_17:3118915 1
cdx_19:14909986 1
cdx_19:9324575 1
cdx_1:158532441 1
cdx_1:159504868 1
cdx_1:247614331 1
cdx_1:247920764 1
cdx_3:98188421 1
cdx_6:29011990 1
cdx_6:29079668 1
cdx_6:29141413 1
cdx_6:29394471 1
cdx_7:143771313 1
ceu_11:123886282 1
ceu_11:123908773 1
ceu_11:124179736 1
ceu_11:124266306 1
ceu_11:4673757 1
ceu_11:4702979 1
ceu_11:5020213 1
ceu_11:56085783 1
ceu_11:59131932 1
ceu_11:59210642 1
ceu_11:6023281 1
ceu_11:7846584 1
ceu_11:7949265 1
ceu_14:20215587 1
ceu_14:22037934 1
ceu_14:22133297 1
ceu_16:3405941 1
ceu_17:3118915 1
ceu_19:14909986 1
ceu_19:9324575 1
ceu_1:158532441 1
ceu_1:159504868 1
ceu_1:247614331 1
ceu_1:247920764 1
ceu_3:98188421 1
ceu_6:29011990 1
ceu_6:29079668 1
ceu_6:29141413 1
ceu_6:29394471 1
ceu_7:143771313 1
chb_11:123886282 1
chb_11:123908773 1
chb_11:124179736 1
chb_11:124266306 1
chb_11:4673757 1
chb_11:4702979 1
chb_11:5020213 1
chb_11:56085783 1
chb_11:59131932 1
chb_11:59210642 1
chb_11:6023281 1
chb_11:7846584 1
chb_11:7949265 1
chb_14:20215587 1
chb_14:22037934 1
chb_14:22133297 1
chb_16:3405941 1
chb_17:3118915 1
chb_19:14909986 1
chb_19:9324575 1
chb_1:158532441 1
chb_1:159504868 1
chb_1:247614331 1
chb_1:247920764 1
chb_3:98188421 1
chb_6:29011990 1
chb_6:29079668 1
chb_6:29141413 1
chb_6:29394471 1
chb_7:143771313 1
chs_11:123886282 1
chs_11:123908773 1
chs_11:124179736 1
chs_11:124266306 1
chs_11:4673757 1
chs_11:4702979 1
chs_11:5020213 1
chs_11:56085783 1
chs_11:59131932 1
chs_11:59210642 1
chs_11:6023281 1
chs_11:7846584 1
chs_11:7949265 1
chs_14:20215587 1
chs_14:22037934 1
chs_14:22133297 1
chs_16:3405941 1
chs_17:3118915 1
chs_19:14909986 1
chs_19:9324575 1
chs_1:158532441 1
chs_1:159504868 1
chs_1:247614331 1
chs_1:247920764 1
chs_3:98188421 1
chs_6:29011990 1
chs_6:29079668 1
chs_6:29141413 1
chs_6:29394471 1
chs_7:143771313 1
clm_11:123886282 1
clm_11:123908773 1
clm_11:124179736 1
clm_11:124266306 1
clm_11:4673757 1
clm_11:4702979 1
clm_11:5020213 1
clm_11:56085783 1
clm_11:59131932 1
clm_11:59210642 1
clm_11:6023281 1
clm_11:7846584 1
clm_11:7949265 1
clm_14:20215587 1
clm_14:22037934 1
clm_14:22133297 1
clm_16:3405941 1
clm_17:3118915 1
clm_19:14909986 1
clm_19:9324575 1
clm_1:158532441 1
clm_1:159504868 1
clm_1:247614331 1
clm_3:98188421 1
clm_6:29011990 1
clm_6:29079668 1
clm_6:29141413 1
clm_6:29394471 1
clm_7:143771313 1
esn_11:123886282 1
esn_11:123908773 1
esn_11:124179736 1
esn_11:124266306 1
esn_11:4673757 1
esn_11:5020213 1
esn_11:56085783 1
esn_11:59131932 1
esn_11:59210642 1
esn_11:6023281 1
esn_11:7846584 1
esn_11:7949265 1
esn_14:20215587 1
esn_14:22037934 1
esn_14:22133297 1
esn_16:3405941 1
esn_17:3118915 1
esn_19:14909986 1
esn_19:9324575 1
esn_1:158532441 1
esn_1:159504868 1
esn_1:247614331 1
esn_1:247920764 1
esn_3:98188421 1
esn_6:29011990 1
esn_6:29079668 1
esn_6:29141413 1
esn_6:29394471 1
esn_7:143771313 1
fin_11:123886282 1
fin_11:123908773 1
fin_11:124179736 1
fin_11:124266306 1
fin_11:4673757 1
fin_11:4702979 1
fin_11:5020213 1
fin_11:56085783 1
fin_11:59131932 1
fin_11:59210642 1
fin_11:6023281 1
fin_11:7846584 1
fin_11:7949265 1
fin_14:20215587 1
fin_14:22037934 1
fin_14:22133297 1
fin_16:3405941 1
fin_17:3118915 1
fin_19:14909986 1
fin_19:9324575 1
fin_1:158532441 1
fin_1:159504868 1
fin_1:247614331 1
fin_3:98188421 1
fin_6:29011990 1
fin_6:29079668 1
fin_6:29141413 1
fin_6:29394471 1
fin_7:143771313 1
gbr_11:123886282 1
gbr_11:123908773 1
gbr_11:124179736 1
gbr_11:124266306 1
gbr_11:4673757 1
gbr_11:4702979 1
gbr_11:5020213 1
gbr_11:56085783 1
gbr_11:59131932 1
gbr_11:59210642 1
gbr_11:6023281 1
gbr_11:7846584 1
gbr_11:7949265 1
gbr_14:20215587 1
gbr_14:22037934 1
gbr_14:22133297 1
gbr_16:3405941 1
gbr_17:3118915 1
gbr_19:14909986 1
gbr_19:9324575 1
gbr_1:158532441 1
gbr_1:159504868 1
gbr_1:247614331 1
gbr_1:247920764 1
gbr_3:98188421 1
gbr_6:29011990 1
gbr_6:29079668 1
gbr_6:29141413 1
gbr_6:29394471 1
gbr_7:143771313 1
gih_11:123886282 1
gih_11:123908773 1
gih_11:124179736 1
gih_11:124266306 1
gih_11:4673757 1
gih_11:5020213 1
gih_11:56085783 1
gih_11:59131932 1
gih_11:59210642 1
gih_11:6023281 1
gih_11:7846584 1
gih_11:7949265 1
gih_14:20215587 1
gih_14:22037934 1
gih_14:22133297 1
gih_16:3405941 1
gih_17:3118915 1
gih_19:14909986 1
gih_19:9324575 1
gih_1:158532441 1
gih_1:159504868 1
gih_1:247614331 1
gih_3:98188421 1
gih_6:29011990 1
gih_6:29079668 1
gih_6:29141413 1
gih_6:29394471 1
gih_7:143771313 1
gwd_11:123886282 1
gwd_11:123908773 1
gwd_11:124179736 1
gwd_11:124266306 1
gwd_11:4673757 1
gwd_11:4702979 1
gwd_11:5020213 1
gwd_11:56085783 1
gwd_11:59131932 1
gwd_11:59210642 1
gwd_11:6023281 1
gwd_11:7846584 1
gwd_11:7949265 1
gwd_14:20215587 1
gwd_14:22037934 1
gwd_14:22133297 1
gwd_16:3405941 1
gwd_17:3118915 1
gwd_19:14909986 1
gwd_19:9324575 1
gwd_1:158532441 1
gwd_1:159504868 1
gwd_1:247614331 1
gwd_1:247920764 1
gwd_3:98188421 1
gwd_6:29011990 1
gwd_6:29079668 1
gwd_6:29141413 1
gwd_6:29394471 1
gwd_7:143771313 1
ibs_11:123886282 1
ibs_11:123908773 1
ibs_11:124179736 1
ibs_11:124266306 1
ibs_11:4673757 1
ibs_11:4702979 1
ibs_11:5020213 1
ibs_11:56085783 1
ibs_11:59131932 1
ibs_11:59210642 1
ibs_11:6023281 1
ibs_11:7846584 1
ibs_11:7949265 1
ibs_14:20215587 1
ibs_14:22037934 1
ibs_14:22133297 1
ibs_16:3405941 1
ibs_17:3118915 1
ibs_19:14909986 1
ibs_19:9324575 1
ibs_1:158532441 1
ibs_1:159504868 1
ibs_1:247614331 1
ibs_3:98188421 1
ibs_6:29011990 1
ibs_6:29079668 1
ibs_6:29141413 1
ibs_6:29394471 1
ibs_7:143771313 1
itu_11:123886282 1
itu_11:123908773 1
itu_11:124179736 1
itu_11:124266306 1
itu_11:4673757 1
itu_11:4702979 1
itu_11:5020213 1
itu_11:56085783 1
itu_11:59131932 1
itu_11:59210642 1
itu_11:6023281 1
itu_11:7846584 1
itu_11:7949265 1
itu_14:20215587 1
itu_14:22037934 1
itu_14:22133297 1
itu_16:3405941 1
itu_17:3118915 1
itu_19:14909986 1
itu_19:9324575 1
itu_1:158532441 1
itu_1:247614331 1
itu_1:247920764 1
itu_3:98188421 1
itu_6:29011990 1
itu_6:29079668 1
itu_6:29141413 1
itu_6:29394471 1
itu_7:143771313 1
jpt_11:123886282 1
jpt_11:123908773 1
jpt_11:124179736 1
jpt_11:124266306 1
jpt_11:4673757 1
jpt_11:4702979 1
jpt_11:5020213 1
jpt_11:56085783 1
jpt_11:59131932 1
jpt_11:59210642 1
jpt_11:6023281 1
jpt_11:7846584 1
jpt_11:7949265 1
jpt_14:20215587 1
jpt_14:22037934 1
jpt_14:22133297 1
jpt_16:3405941 1
jpt_17:3118915 1
jpt_19:14909986 1
jpt_19:9324575 1
jpt_1:158532441 1
jpt_1:159504868 1
jpt_1:247614331 1
jpt_3:98188421 1
jpt_6:29011990 1
jpt_6:29079668 1
jpt_6:29141413 1
jpt_6:29394471 1
jpt_7:143771313 1
khv_11:123886282 1
khv_11:123908773 1
khv_11:124179736 1
khv_11:124266306 1
khv_11:4673757 1
khv_11:4702979 1
khv_11:5020213 1
khv_11:56085783 1
khv_11:59131932 1
khv_11:59210642 1
khv_11:6023281 1
khv_11:7846584 1
khv_11:7949265 1
khv_14:20215587 1
khv_14:22037934 1
khv_14:22133297 1
khv_16:3405941 1
khv_17:3118915 1
khv_19:14909986 1
khv_19:9324575 1
khv_1:158532441 1
khv_1:159504868 1
khv_1:247614331 1
khv_1:247920764 1
khv_3:98188421 1
khv_6:29011990 1
khv_6:29079668 1
khv_6:29141413 1
khv_6:29394471 1
khv_7:143771313 1
lwk_11:123886282 1
lwk_11:123908773 1
lwk_11:124179736 1
lwk_11:124266306 1
lwk_11:4673757 1
lwk_11:4702979 1
lwk_11:5020213 1
lwk_11:56085783 1
lwk_11:59131932 1
lwk_11:59210642 1
lwk_11:6023281 1
lwk_11:7846584 1
lwk_11:7949265 1
lwk_14:20215587 1
lwk_14:22037934 1
lwk_14:22133297 1
lwk_16:3405941 1
lwk_17:3118915 1
lwk_19:14909986 1
lwk_19:9324575 1
lwk_1:158532441 1
lwk_1:159504868 1
lwk_1:247614331 1
lwk_1:247920764 1
lwk_3:98188421 1
lwk_6:29011990 1
lwk_6:29079668 1
lwk_6:29141413 1
lwk_6:29394471 1
lwk_7:143771313 1
msl_11:123886282 1
msl_11:123908773 1
msl_11:124179736 1
msl_11:124266306 1
msl_11:4673757 1
msl_11:4702979 1
msl_11:5020213 1
msl_11:56085783 1
msl_11:59131932 1
msl_11:59210642 1
msl_11:6023281 1
msl_11:7846584 1
msl_11:7949265 1
msl_14:20215587 1
msl_14:22037934 1
