Gene Population n BasePairs PerVar
Denisova NA 37 NA NA
Neandertal_Altai NA 31 NA NA
Neandertal_Chagyrskaya NA 34 NA NA
Neandertal_Vindija NA 26 NA NA
OR10a6 acb_11:7949265 7 NA NA
OR10a6 asw_11:7949265 12 NA NA
OR10a6 beb_11:7949265 7 NA NA
OR10a6 cdx_11:7949265 5 NA NA
OR10a6 ceu_11:7949265 10 NA NA
OR10a6 chb_11:7949265 8 NA NA
OR10a6 chs_11:7949265 4 NA NA
OR10a6 clm_11:7949265 8 NA NA
OR10a6 esn_11:7949265 10 NA NA
OR10a6 fin_11:7949265 7 NA NA
OR10a6 gbr_11:7949265 7 NA NA
OR10a6 gih_11:7949265 6 NA NA
OR10a6 gwd_11:7949265 13 NA NA
OR10a6 ibs_11:7949265 7 NA NA
OR10a6 itu_11:7949265 8 NA NA
OR10a6 jpt_11:7949265 7 NA NA
OR10a6 khv_11:7949265 8 NA NA
OR10a6 lwk_11:7949265 7 NA NA
OR10a6 msl_11:7949265 12 NA NA
OR10a6 mxl_11:7949265 8 NA NA
OR10a6 pel_11:7949265 10 NA NA
OR10a6 pjl_11:7949265 9 NA NA
OR10a6 pur_11:7949265 7 NA NA
OR10a6 stu_11:7949265 7 NA NA
OR10a6 tsi_11:7949265 7 NA NA
OR10a6 yri_11:7949265 12 NA NA
OR10g3 acb_14:22037934 16 NA NA
OR10g3 asw_14:22037934 16 NA NA
OR10g3 beb_14:22037934 13 NA NA
OR10g3 cdx_14:22037934 10 NA NA
OR10g3 ceu_14:22037934 10 NA NA
OR10g3 chb_14:22037934 10 NA NA
OR10g3 chs_14:22037934 8 NA NA
OR10g3 clm_14:22037934 14 NA NA
OR10g3 esn_14:22037934 9 NA NA
OR10g3 fin_14:22037934 10 NA NA
OR10g3 gbr_14:22037934 11 NA NA
OR10g3 gih_14:22037934 11 NA NA
OR10g3 gwd_14:22037934 15 NA NA
OR10g3 ibs_14:22037934 11 NA NA
OR10g3 itu_14:22037934 11 NA NA
OR10g3 jpt_14:22037934 8 NA NA
OR10g3 khv_14:22037934 8 NA NA
OR10g3 lwk_14:22037934 11 NA NA
OR10g3 msl_14:22037934 11 NA NA
OR10g3 mxl_14:22037934 9 NA NA
OR10g3 pel_14:22037934 12 NA NA
OR10g3 pjl_14:22037934 13 NA NA
OR10g3 pur_14:22037934 12 NA NA
OR10g3 stu_14:22037934 12 NA NA
OR10g3 tsi_14:22037934 13 NA NA
OR10g3 yri_14:22037934 11 NA NA
OR10g7 acb_11:123908773 25 NA NA
OR10g7 asw_11:123908773 20 NA NA
OR10g7 beb_11:123908773 17 NA NA
OR10g7 cdx_11:123908773 17 NA NA
OR10g7 ceu_11:123908773 11 NA NA
OR10g7 chb_11:123908773 19 NA NA
OR10g7 chs_11:123908773 17 NA NA
OR10g7 clm_11:123908773 18 NA NA
OR10g7 esn_11:123908773 18 NA NA
OR10g7 fin_11:123908773 10 NA NA
OR10g7 gbr_11:123908773 12 NA NA
OR10g7 gih_11:123908773 18 NA NA
OR10g7 gwd_11:123908773 23 NA NA
OR10g7 ibs_11:123908773 12 NA NA
OR10g7 itu_11:123908773 21 NA NA
OR10g7 jpt_11:123908773 13 NA NA
OR10g7 khv_11:123908773 17 NA NA
OR10g7 lwk_11:123908773 26 NA NA
OR10g7 msl_11:123908773 18 NA NA
OR10g7 mxl_11:123908773 16 NA NA
OR10g7 pel_11:123908773 15 NA NA
OR10g7 pjl_11:123908773 22 NA NA
OR10g7 pur_11:123908773 21 NA NA
OR10g7 stu_11:123908773 20 NA NA
OR10g7 tsi_11:123908773 18 NA NA
OR10g7 yri_11:123908773 27 NA NA
OR10j5 acb_1:159504868 3 NA NA
OR10j5 asw_1:159504868 4 NA NA
OR10j5 beb_1:159504868 4 NA NA
OR10j5 cdx_1:159504868 5 NA NA
OR10j5 ceu_1:159504868 4 NA NA
OR10j5 chb_1:159504868 4 NA NA
OR10j5 chs_1:159504868 7 NA NA
OR10j5 clm_1:159504868 6 NA NA
OR10j5 esn_1:159504868 3 NA NA
OR10j5 fin_1:159504868 4 NA NA
OR10j5 gbr_1:159504868 5 NA NA
OR10j5 gih_1:159504868 5 NA NA
OR10j5 gwd_1:159504868 5 NA NA
OR10j5 ibs_1:159504868 3 NA NA
OR10j5 itu_1:159504868 4 NA NA
OR10j5 jpt_1:159504868 3 NA NA
OR10j5 khv_1:159504868 5 NA NA
OR10j5 lwk_1:159504868 6 NA NA
OR10j5 msl_1:159504868 7 NA NA
OR10j5 mxl_1:159504868 5 NA NA
OR10j5 pel_1:159504868 5 NA NA
OR10j5 pjl_1:159504868 5 NA NA
OR10j5 pur_1:159504868 3 NA NA
OR10j5 stu_1:159504868 5 NA NA
OR10j5 tsi_1:159504868 3 NA NA
OR10j5 yri_1:159504868 4 NA NA
OR11a1 acb_6:29394471 7 NA NA
OR11a1 asw_6:29394471 2 NA NA
OR11a1 beb_6:29394471 6 NA NA
OR11a1 cdx_6:29394471 1 NA NA
OR11a1 ceu_6:29394471 5 NA NA
OR11a1 chb_6:29394471 5 NA NA
OR11a1 chs_6:29394471 5 NA NA
OR11a1 clm_6:29394471 6 NA NA
OR11a1 esn_6:29394471 8 NA NA
OR11a1 fin_6:29394471 4 NA NA
OR11a1 gbr_6:29394471 4 NA NA
OR11a1 gih_6:29394471 6 NA NA
OR11a1 gwd_6:29394471 7 NA NA
OR11a1 ibs_6:29394471 6 NA NA
OR11a1 itu_6:29394471 5 NA NA
OR11a1 jpt_6:29394471 6 NA NA
OR11a1 khv_6:29394471 7 NA NA
OR11a1 lwk_6:29394471 6 NA NA
OR11a1 msl_6:29394471 6 NA NA
OR11a1 mxl_6:29394471 7 NA NA
OR11a1 pel_6:29394471 5 NA NA
OR11a1 pjl_6:29394471 6 NA NA
OR11a1 pur_6:29394471 6 NA NA
OR11a1 stu_6:29394471 5 NA NA
OR11a1 tsi_6:29394471 6 NA NA
OR11a1 yri_6:29394471 6 NA NA
OR1c1 acb_1:247920764 12 NA NA
OR1c1 asw_1:247920764 7 NA NA
OR1c1 beb_1:247920764 5 NA NA
OR1c1 cdx_1:247920764 6 NA NA
OR1c1 ceu_1:247920764 5 NA NA
OR1c1 chb_1:247920764 6 NA NA
OR1c1 chs_1:247920764 3 NA NA
OR1c1 clm_1:247920764 6 NA NA
OR1c1 esn_1:247920764 11 NA NA
OR1c1 fin_1:247920764 3 NA NA
OR1c1 gbr_1:247920764 4 NA NA
OR1c1 gih_1:247920764 4 NA NA
OR1c1 gwd_1:247920764 7 NA NA
OR1c1 ibs_1:247920764 4 NA NA
OR1c1 itu_1:247920764 5 NA NA
OR1c1 jpt_1:247920764 2 NA NA
OR1c1 khv_1:247920764 6 NA NA
OR1c1 lwk_1:247920764 9 NA NA
OR1c1 msl_1:247920764 7 NA NA
OR1c1 mxl_1:247920764 3 NA NA
OR1c1 pel_1:247920764 4 NA NA
OR1c1 pjl_1:247920764 6 NA NA
OR1c1 pur_1:247920764 9 NA NA
OR1c1 stu_1:247920764 5 NA NA
OR1c1 tsi_1:247920764 5 NA NA
OR1c1 yri_1:247920764 8 NA NA
OR2b11 acb_1:247614331 20 NA NA
OR2b11 asw_1:247614331 14 NA NA
OR2b11 beb_1:247614331 9 NA NA
OR2b11 cdx_1:247614331 6 NA NA
OR2b11 ceu_1:247614331 7 NA NA
OR2b11 chb_1:247614331 7 NA NA
OR2b11 chs_1:247614331 5 NA NA
OR2b11 clm_1:247614331 15 NA NA
OR2b11 esn_1:247614331 17 NA NA
OR2b11 fin_1:247614331 7 NA NA
OR2b11 gbr_1:247614331 8 NA NA
OR2b11 gih_1:247614331 11 NA NA
OR2b11 gwd_1:247614331 16 NA NA
OR2b11 ibs_1:247614331 8 NA NA
OR2b11 itu_1:247614331 14 NA NA
OR2b11 jpt_1:247614331 12 NA NA
OR2b11 khv_1:247614331 9 NA NA
OR2b11 lwk_1:247614331 18 NA NA
OR2b11 msl_1:247614331 16 NA NA
OR2b11 mxl_1:247614331 12 NA NA
OR2b11 pel_1:247614331 12 NA NA
OR2b11 pjl_1:247614331 11 NA NA
OR2b11 pur_1:247614331 12 NA NA
OR2b11 stu_1:247614331 9 NA NA
OR2b11 tsi_1:247614331 11 NA NA
OR2b11 yri_1:247614331 19 NA NA
OR2w1 acb_6:29011990 5 NA NA
OR2w1 asw_6:29011990 3 NA NA
OR2w1 beb_6:29011990 3 NA NA
OR2w1 cdx_6:29011990 2 NA NA
OR2w1 ceu_6:29011990 4 NA NA
OR2w1 chb_6:29011990 5 NA NA
OR2w1 chs_6:29011990 3 NA NA
OR2w1 clm_6:29011990 3 NA NA
OR2w1 esn_6:29011990 5 NA NA
OR2w1 fin_6:29011990 3 NA NA
OR2w1 gbr_6:29011990 2 NA NA
OR2w1 gih_6:29011990 2 NA NA
OR2w1 gwd_6:29011990 4 NA NA
OR2w1 ibs_6:29011990 6 NA NA
OR2w1 itu_6:29011990 4 NA NA
OR2w1 jpt_6:29011990 3 NA NA
OR2w1 khv_6:29011990 2 NA NA
OR2w1 lwk_6:29011990 5 NA NA
OR2w1 msl_6:29011990 4 NA NA
OR2w1 mxl_6:29011990 4 NA NA
OR2w1 pel_6:29011990 4 NA NA
OR2w1 pjl_6:29011990 3 NA NA
OR2w1 pur_6:29011990 4 NA NA
OR2w1 stu_6:29011990 4 NA NA
OR2w1 tsi_6:29011990 4 NA NA
OR2w1 yri_6:29011990 4 NA NA
OR51e2 acb_11:4702979 10 NA NA
OR51e2 asw_11:4702979 8 NA NA
