Population name
acb 1.12012391829853
acb_11:123908773 NA
acb_11:124179736 NA
acb_11:124266306 NA
acb_11:4673757 0.208986415882968
acb_11:4702979 NA
acb_11:5020213 1.37130801687764
acb_11:6023281 NA
acb_11:7846584 NA
acb_11:7949265 NA
acb_14:22037934 NA
acb_19:14909986 NA
acb_19:9324575 NA
acb_1:158532441 NA
acb_1:159504868 NA
acb_1:247614331 NA
acb_1:247920764 NA
acb_6:29011990 NA
acb_6:29394471 NA
asw 0.933979370176887
asw_11:123908773 NA
asw_11:124179736 NA
asw_11:124266306 NA
asw_11:4673757 0.208986415882968
asw_11:4702979 NA
asw_11:5020213 1.26582278481013
asw_11:6023281 NA
asw_11:7846584 NA
asw_11:7949265 NA
asw_14:22037934 NA
asw_19:14909986 NA
asw_19:9324575 NA
asw_1:158532441 NA
asw_1:159504868 NA
asw_1:247614331 NA
asw_1:247920764 NA
asw_6:29011990 NA
asw_6:29394471 NA
beb 0.790266782844002
beb_11:123908773 NA
beb_11:124179736 NA
beb_11:124266306 NA
beb_11:4673757 0.626959247648903
beb_11:4702979 NA
beb_11:5020213 0.738396624472574
beb_11:6023281 NA
beb_11:7846584 NA
beb_11:7949265 NA
beb_14:22037934 NA
beb_19:14909986 NA
beb_19:9324575 NA
beb_1:158532441 NA
beb_1:159504868 NA
beb_1:247614331 NA
beb_1:247920764 NA
beb_6:29011990 NA
beb_6:29394471 NA
cdx 0.613022872038837
cdx_11:123908773 NA
cdx_11:124179736 NA
cdx_11:124266306 NA
cdx_11:4673757 0.313479623824451
cdx_11:4702979 NA
cdx_11:5020213 0.738396624472574
cdx_11:6023281 NA
cdx_11:7846584 NA
cdx_11:7949265 NA
cdx_14:22037934 NA
cdx_19:14909986 NA
cdx_19:9324575 NA
cdx_1:158532441 NA
cdx_1:159504868 NA
cdx_1:247614331 NA
cdx_1:247920764 NA
cdx_6:29011990 NA
cdx_6:29394471 NA
ceu 0.728652393951677
ceu_11:123908773 NA
ceu_11:124179736 NA
ceu_11:124266306 NA
ceu_11:4673757 0.522466039707419
ceu_11:4702979 NA
ceu_11:5020213 0.738396624472574
ceu_11:6023281 NA
ceu_11:7846584 NA
ceu_11:7949265 NA
ceu_14:22037934 NA
ceu_19:14909986 NA
ceu_19:9324575 NA
ceu_1:158532441 NA
ceu_1:159504868 NA
ceu_1:247614331 NA
ceu_1:247920764 NA
ceu_6:29011990 NA
ceu_6:29394471 NA
chb 0.666496198481357
chb_11:123908773 NA
chb_11:124179736 NA
chb_11:124266306 NA
chb_11:4673757 0.522466039707419
chb_11:4702979 NA
chb_11:5020213 0.738396624472574
chb_11:6023281 NA
chb_11:7846584 NA
chb_11:7949265 NA
chb_14:22037934 NA
chb_19:14909986 NA
chb_19:9324575 NA
chb_1:158532441 NA
chb_1:159504868 NA
chb_1:247614331 NA
chb_1:247920764 NA
chb_6:29011990 NA
chb_6:29394471 NA
chs 0.666475777165268
chs_11:123908773 NA
chs_11:124179736 NA
chs_11:124266306 NA
chs_11:4673757 0.313479623824451
chs_11:4702979 NA
chs_11:5020213 0.738396624472574
chs_11:6023281 NA
chs_11:7846584 NA
chs_11:7949265 NA
chs_14:22037934 NA
chs_19:14909986 NA
chs_19:9324575 NA
chs_1:158532441 NA
chs_1:159504868 NA
chs_1:247614331 NA
chs_1:247920764 NA
chs_6:29011990 NA
chs_6:29394471 NA
clm 0.880812962800611
clm_11:123908773 NA
clm_11:124179736 NA
clm_11:124266306 NA
clm_11:4673757 0.417972831765935
clm_11:4702979 NA
clm_11:5020213 0.843881856540084
clm_11:6023281 NA
clm_11:7846584 NA
clm_11:7949265 NA
clm_14:22037934 NA
clm_19:14909986 NA
clm_19:9324575 NA
clm_1:158532441 NA
clm_1:159504868 NA
clm_1:247614331 NA
clm_1:247920764 NA
clm_6:29011990 NA
clm_6:29394471 NA
esn 0.996129356348756
esn_11:123908773 NA
esn_11:124179736 NA
esn_11:124266306 NA
esn_11:4673757 0.313479623824451
esn_11:4702979 NA
esn_11:5020213 1.16033755274262
esn_11:6023281 NA
esn_11:7846584 NA
esn_11:7949265 NA
esn_14:22037934 NA
esn_19:14909986 NA
esn_19:9324575 NA
esn_1:158532441 NA
esn_1:159504868 NA
esn_1:247614331 NA
esn_1:247920764 NA
esn_6:29011990 NA
esn_6:29394471 NA
fin 0.639675935252758
fin_11:123908773 NA
fin_11:124179736 NA
fin_11:124266306 NA
fin_11:4673757 0.731452455590387
fin_11:4702979 NA
fin_11:5020213 0.738396624472574
fin_11:6023281 NA
fin_11:7846584 NA
fin_11:7949265 NA
fin_14:22037934 NA
fin_19:14909986 NA
fin_19:9324575 NA
fin_1:158532441 NA
fin_1:159504868 NA
fin_1:247614331 NA
fin_1:247920764 NA
fin_6:29011990 NA
fin_6:29394471 NA
gbr 0.737787829995898
gbr_11:123908773 NA
gbr_11:124179736 NA
gbr_11:124266306 NA
gbr_11:4673757 0.417972831765935
gbr_11:4702979 NA
gbr_11:5020213 0.632911392405063
gbr_11:6023281 NA
gbr_11:7846584 NA
gbr_11:7949265 NA
gbr_14:22037934 NA
gbr_19:14909986 NA
gbr_19:9324575 NA
gbr_1:158532441 NA
gbr_1:159504868 NA
gbr_1:247614331 NA
gbr_1:247920764 NA
gbr_6:29011990 NA
gbr_6:29394471 NA
gih 0.782416378584345
gih_11:123908773 NA
gih_11:124179736 NA
gih_11:124266306 NA
gih_11:4673757 0.626959247648903
gih_11:4702979 NA
gih_11:5020213 0.738396624472574
gih_11:6023281 NA
gih_11:7846584 NA
gih_11:7949265 NA
gih_14:22037934 NA
gih_19:14909986 NA
gih_19:9324575 NA
gih_1:158532441 NA
gih_1:159504868 NA
gih_1:247614331 NA
gih_1:247920764 NA
gih_6:29011990 NA
gih_6:29394471 NA
gwd 1.08485052869542
gwd_11:123908773 NA
gwd_11:124179736 NA
gwd_11:124266306 NA
gwd_11:4673757 0.208986415882968
gwd_11:4702979 NA
gwd_11:5020213 0.949367088607595
gwd_11:6023281 NA
gwd_11:7846584 NA
gwd_11:7949265 NA
gwd_14:22037934 NA
gwd_19:14909986 NA
gwd_19:9324575 NA
gwd_1:158532441 NA
gwd_1:159504868 NA
gwd_1:247614331 NA
gwd_1:247920764 NA
gwd_6:29011990 NA
gwd_6:29394471 NA
ibs 0.844685639837837
ibs_11:123908773 NA
ibs_11:124179736 NA
ibs_11:124266306 NA
ibs_11:4673757 0.940438871473354
ibs_11:4702979 NA
ibs_11:5020213 1.16033755274262
ibs_11:6023281 NA
ibs_11:7846584 NA
ibs_11:7949265 NA
ibs_14:22037934 NA
ibs_19:14909986 NA
ibs_19:9324575 NA
ibs_1:158532441 NA
ibs_1:159504868 NA
ibs_1:247614331 NA
ibs_1:247920764 NA
ibs_6:29011990 NA
ibs_6:29394471 NA
itu 0.746858009046585
itu_11:123908773 NA
itu_11:124179736 NA
itu_11:124266306 NA
itu_11:4673757 0.522466039707419
itu_11:4702979 NA
itu_11:5020213 0.632911392405063
itu_11:6023281 NA
itu_11:7846584 NA
itu_11:7949265 NA
itu_14:22037934 NA
itu_19:14909986 NA
itu_19:9324575 NA
itu_1:158532441 NA
itu_1:159504868 NA
itu_1:247614331 NA
itu_1:247920764 NA
itu_6:29011990 NA
itu_6:29394471 NA
jpt 0.604203075108473
jpt_11:123908773 NA
jpt_11:124179736 NA
jpt_11:124266306 NA
jpt_11:4673757 0.313479623824451
jpt_11:4702979 NA
jpt_11:5020213 0.738396624472574
jpt_11:6023281 NA
jpt_11:7846584 NA
jpt_11:7949265 NA
jpt_14:22037934 NA
jpt_19:14909986 NA
jpt_19:9324575 NA
jpt_1:158532441 NA
jpt_1:159504868 NA
jpt_1:247614331 NA
jpt_1:247920764 NA
jpt_6:29011990 NA
jpt_6:29394471 NA
khv 0.657652871910271
khv_11:123908773 NA
khv_11:124179736 NA
khv_11:124266306 NA
khv_11:4673757 0.626959247648903
khv_11:4702979 NA
khv_11:5020213 0.738396624472574
khv_11:6023281 NA
khv_11:7846584 NA
khv_11:7949265 NA
khv_14:22037934 NA
khv_19:14909986 NA
khv_19:9324575 NA
khv_1:158532441 NA
khv_1:159504868 NA
khv_1:247614331 NA
khv_1:247920764 NA
khv_6:29011990 NA
khv_6:29394471 NA
lwk 1.20008633104371
lwk_11:123908773 NA
lwk_11:124179736 NA
lwk_11:124266306 NA
lwk_11:4673757 0.208986415882968
lwk_11:4702979 NA
lwk_11:5020213 1.05485232067511
lwk_11:6023281 NA
lwk_11:7846584 NA
lwk_11:7949265 NA
lwk_14:22037934 NA
lwk_19:14909986 NA
lwk_19:9324575 NA
lwk_1:158532441 NA
